runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of classifying conflicts,runtime of building MDDs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.019,10,18,1547,5900,446,446,440,442,12,1,3,0,6,0,0,0,0,0,0,0.003,0.003,0.009,0.009,0.007,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-0.agents
0.069,50,98,7246,24322,354,354,350,351,36,26,4,0,20,0,0,0,0,0,0,0.012,0.006,0.051,0.051,0.008,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-1.agents
0.013,6,13,1024,4081,382,382,378,380,10,1,1,0,4,0,0,0,0,0,0,0.003,0.003,0.005,0.005,0.007,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-2.agents
0.029,11,22,2627,8530,392,392,386,387,11,1,0,1,9,0,0,0,0,0,0.001,0.004,0.004,0.018,0.019,0.008,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-3.agents
0.013,5,10,937,3871,433,433,433,433,6,4,0,0,1,0,0,0,0,0,0,0.002,0.002,0.005,0.005,0.007,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-4.agents
0.011,4,8,796,3151,373,373,371,371,8,2,1,0,1,0,0,0,0,0,0,0.001,0.001,0.004,0.004,0.009,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-5.agents
0.015,4,8,879,3620,391,391,388,391,9,2,2,0,0,0,0,0,0,0,0.001,0.001,0.001,0.005,0.007,0.007,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-6.agents
0.069,62,116,6414,20130,372,372,365,367,44,42,3,0,17,0,0,0,0,0,0.001,0.011,0.008,0.053,0.054,0.007,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-7.agents
0.011,6,12,960,3715,387,387,384,385,6,1,1,0,4,0,0,0,0,0,0,0,0,0.005,0.005,0.007,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-8.agents
0.013,5,11,1033,4018,422,422,418,421,9,2,2,0,1,0,0,0,0,0,0,0.001,0.001,0.007,0.007,0.006,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-9.agents
0.083,71,142,6561,21278,406,406,394,399,45,42,8,0,21,0,0,0,0,0,0,0.011,0.009,0.067,0.067,0.008,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-10.agents
0.278,119,225,67651,120102,399,399,385,387,43,13,8,0,98,0,0,0,0,0,0.002,0.038,0.035,0.229,0.233,0.007,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-11.agents
0.011,6,12,1118,3952,356,356,352,353,4,1,0,0,5,0,0,0,0,0,0,0.002,0.002,0.005,0.005,0.008,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-12.agents
