runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of classifying conflicts,runtime of building MDDs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
1.81,62,124,110549,325169,10731,10731,10721,10726,18,61,1,0,0,0,0,0,0,0.014,0.013,0.371,0.264,1.074,1.086,1.194,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-100agents-2.agents
5.002,235,470,327880,872581,10902,10902,10890,10894,17,231,0,0,4,0,0,0,0.007,0.031,0.043,0.867,0.851,3.701,3.743,1.268,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-100agents-3.agents
300.288,2259,4511,2715423,7562394,-1,11985,11962,11977,0,2156,103,0,0,0,0,0,0.391,248.211,0.406,13.75,6.8,36.966,37.393,1.186,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-100agents-4.agents
7.366,392,784,481971,1294099,10087,10087,10071,10079,18,389,1,0,2,0,0,0,0.005,0.119,0.071,1.228,1.133,5.623,5.692,1.219,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-100agents-5.agents
13.803,604,1199,1067102,2478934,11074,11074,11059,11067,17,576,28,0,0,0,0,0,0.025,0.45,0.095,2.763,2.393,10.092,10.188,1.31,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-100agents-7.agents
3.507,164,328,195116,562510,12044,12044,12033,12041,19,157,7,0,0,0,0,0,0.007,0.022,0.034,0.433,0.376,2.636,2.668,1.236,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-100agents-9.agents
11.129,336,662,1515059,2393271,11249,11249,11234,11241,23,332,1,0,3,0,0,0,0.01,0.109,0.054,2.215,1.389,8.357,8.413,1.198,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-100agents-13.agents
39.618,1265,2524,3414208,7797709,12096,12096,12078,12088,22,1240,21,0,4,0,0,0,0.089,1.254,0.228,11.258,8.506,26.366,26.602,1.2,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-100agents-20.agents
36.633,561,1072,6486367,8892794,10996,10996,10985,10990,745,394,68,0,99,0,0,0,0.047,0.025,0.152,3.856,2.574,32.164,32.319,1.194,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-100agents-32.agents
5.24,230,460,367585,1016663,11141,11141,11130,11137,14,227,3,0,0,0,0,0,0.007,0.023,0.039,1.04,0.761,3.784,3.824,1.268,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-100agents-33.agents
2.768,105,211,207263,550160,10109,10109,10089,10096,16,102,1,0,2,0,0,0,0.004,0.012,0.02,0.546,0.51,1.831,1.85,1.226,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-100agents-37.agents
6.681,274,548,477025,1117214,11556,11556,11542,11549,17,269,3,0,2,0,0,0,0.01,0.045,0.037,1.57,1.168,4.659,4.694,1.213,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-100agents-41.agents
53.912,2311,4623,3656581,9600355,11181,11181,11164,11171,18,2307,1,0,3,0,0,0,0.482,3.053,0.402,10.014,9.862,39.442,39.867,1.385,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-100agents-45.agents
