runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of classifying conflicts,runtime of building MDDs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.092,6,12,7899,30802,3190,3190,3186,3189,1,5,1,0,0,0,0,0,0,0,0,0.032,0.023,0.029,0.029,0.271,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-20agents-0.agents
0.031,1,2,2526,11460,2223,2223,2223,2223,1,1,0,0,0,0,0,0,0,0,0,0.005,0.005,0.004,0.004,0.267,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-20agents-1.agents
0.029,1,2,2708,12378,2393,2393,2393,2393,1,1,0,0,0,0,0,0,0,0,0,0.005,0.005,0.003,0.003,0.264,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-20agents-2.agents
0.034,1,2,2894,13057,2517,2517,2517,2517,1,1,0,0,0,0,0,0,0,0,0.001,0.006,0.006,0.004,0.004,0.265,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-20agents-3.agents
0.024,1,2,2090,9267,1795,1795,1795,1795,0,0,0,0,1,0,0,0,0,0,0,0.002,0.002,0.002,0.002,0.318,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-20agents-4.agents
0.032,2,4,3704,14402,2359,2359,2357,2358,0,2,0,0,0,0,0,0,0,0,0.001,0.004,0.004,0.007,0.007,0.267,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-20agents-5.agents
0.038,2,4,3641,15343,2335,2335,2334,2335,1,2,0,0,0,0,0,0,0,0,0,0.003,0.003,0.01,0.01,0.27,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-20agents-6.agents
0.036,1,2,3309,15000,2572,2572,2572,2572,1,1,0,0,0,0,0,0,0,0,0,0.005,0.005,0.008,0.008,0.283,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-20agents-7.agents
0.036,1,2,3155,14323,2853,2853,2853,2853,0,1,0,0,0,0,0,0,0,0,0.001,0.004,0.004,0.003,0.003,0.268,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-20agents-8.agents
0.036,2,5,4264,15399,1992,1992,1991,1992,0,1,1,0,0,0,0,0,0,0,0,0.005,0.003,0.011,0.011,0.271,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-20agents-9.agents
0.022,0,1,2313,10535,2291,2291,2291,2291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-20agents-10.agents
0.025,1,2,2358,10717,2171,2171,2171,2171,0,1,0,0,0,0,0,0,0,0,0.001,0.002,0.002,0.001,0.001,0.257,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-20agents-11.agents
0.028,1,2,2153,9702,1963,1963,1963,1963,0,0,0,0,1,0,0,0,0,0,0,0.002,0.002,0.003,0.003,0.286,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-20agents-12.agents
0.049,2,4,5131,20543,2651,2651,2650,2651,2,2,0,0,0,0,0,0,0,0,0,0.011,0.011,0.013,0.013,0.273,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-20agents-13.agents
0.018,0,1,1837,8337,1817,1817,1817,1817,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.274,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-20agents-14.agents
0.019,0,1,2126,9687,2105,2105,2105,2105,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.26,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-20agents-15.agents
0.032,2,4,2739,12217,1849,1849,1847,1848,1,2,0,0,0,0,0,0,0,0,0,0.008,0.007,0.007,0.007,0.273,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-20agents-16.agents
0.02,1,2,2116,9536,1973,1973,1973,1973,0,0,0,0,1,0,0,0,0,0,0.001,0,0,0.002,0.002,0.271,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-20agents-17.agents
0.04,1,2,3089,13817,2733,2733,2733,2733,2,1,0,0,0,0,0,0,0,0,0.001,0.007,0.007,0.006,0.007,0.261,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-20agents-18.agents
0.044,1,3,4594,18495,2319,2319,2318,2318,2,1,0,0,0,0,0,0,0,0,0.001,0.01,0.007,0.009,0.01,0.275,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-20agents-19.agents
0.025,1,2,2217,9933,2052,2052,2052,2052,0,1,0,0,0,0,0,0,0,0,0.001,0.002,0.002,0.002,0.002,0.27,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-20agents-20.agents
0.023,0,1,2638,11804,2616,2616,2616,2616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-20agents-21.agents
