runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of classifying conflicts,runtime of building MDDs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.132,73,145,9739,33499,585,585,574,579,78,26,5,3,39,0,0,0,0,0,0.002,0.026,0.018,0.094,0.097,0.013,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-0.agents
6.127,3379,6551,594236,1491204,756,756,733,739,1072,746,488,8,2137,0,0,0,0.006,0.007,0.098,1.11,0.926,4.841,4.95,0.019,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-1.agents
22.536,15496,30459,1737317,5248029,681,681,643,650,10221,5515,2198,320,7463,0,0,0,0.031,0.012,0.384,3.033,2.331,18.81,19.257,0.012,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-2.agents
0.513,234,455,35794,108963,693,693,680,685,288,129,5,4,96,0,0,0,0,0,0.011,0.08,0.069,0.401,0.413,0.014,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-3.agents
1.124,616,1226,119780,359860,635,635,620,626,567,181,59,29,347,0,0,0,0.002,0.004,0.024,0.203,0.174,0.875,0.9,0.012,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-4.agents
13.789,7341,13636,1369080,3875808,739,739,732,736,4937,4129,1800,130,1282,0,0,0,0.019,0.004,0.175,3.109,2.271,10.383,10.583,0.013,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-5.agents
33.116,19778,39107,3739013,8965309,673,673,651,655,4207,2948,516,356,15958,0,0,0,0.043,0.011,0.467,9.29,6.543,22.997,23.535,0.011,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-6.agents
0.221,90,176,10760,36822,660,660,650,655,77,63,6,0,21,0,0,0,0.001,0.001,0.002,0.016,0.013,0.181,0.183,0.019,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-7.agents
4.57,2963,5880,487848,1349631,719,719,701,706,1096,577,337,8,2041,0,0,0,0.011,0.003,0.071,0.972,0.794,3.467,3.542,0.011,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-8.agents
0.062,26,53,3788,13589,668,668,660,663,36,8,5,0,13,0,0,0,0,0,0.001,0.008,0.006,0.041,0.042,0.013,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-9.agents
60.003,34532,65211,6009916,15725293,-1,681,662,668,18962,18555,3019,494,12464,0,0,0,0.075,0.004,0.922,13.584,10.343,44.876,45.925,0.01,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-10.agents
60.002,42549,81889,6092379,17631424,-1,665,639,649,17111,15759,6761,247,19782,0,0,0,0.079,0.076,1.14,11.674,8.405,46.361,47.618,0.009,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-11.agents
11.431,6850,13515,963964,2760187,706,706,691,693,4346,3407,350,557,2536,0,0,0,0.017,0.002,0.178,2.336,1.577,8.78,8.974,0.012,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-12.agents
0.98,584,1126,102968,257420,693,693,671,673,351,276,80,2,226,0,0,0,0.002,0,0.009,0.152,0.123,0.796,0.806,0.013,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-13.agents
3.774,2222,4339,266537,783570,742,742,725,730,1238,929,231,67,995,0,0,0,0.006,0,0.064,0.695,0.522,2.959,3.028,0.011,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-14.agents
60.002,34557,68087,6224155,17355782,-1,603,581,587,20771,5612,2244,5,26696,0,0,0,0.068,0.046,0.99,12.917,8.959,45.328,46.451,0.048,Disjoint CG+R+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-15.agents
