runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of classifying conflicts,runtime of building MDDs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.139,73,145,9739,33499,585,585,574,579,78,26,5,3,39,0,0,0,0,0.001,0.001,0.02,0.016,0.106,0.106,0.012,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-0.agents
5.168,3379,6551,594236,1491204,756,756,733,739,1072,746,488,8,2137,0,0,0,0.006,0.003,0.074,0.928,0.784,4.09,4.177,0.022,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-1.agents
22.274,15496,30459,1737317,5248029,681,681,643,650,10221,5515,2198,320,7463,0,0,0,0.033,0.014,0.416,2.847,2.196,18.699,19.165,0.012,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-2.agents
0.517,234,455,35794,108963,693,693,680,685,288,129,5,4,96,0,0,0,0.004,0.002,0.01,0.08,0.063,0.398,0.411,0.011,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-3.agents
1.102,616,1226,119780,359860,635,635,620,626,567,181,59,29,347,0,0,0,0.003,0.001,0.014,0.18,0.155,0.879,0.894,0.01,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-4.agents
