runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of classifying conflicts,runtime of building MDDs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.967,803,1508,75352,243921,568,568,558,563,443,635,65,15,88,0,0,0,0.002,0.001,0.021,0.144,0.123,0.784,0.809,0.008,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-23.agents
1.951,1340,2575,188659,598206,562,562,554,556,905,943,42,8,347,0,0,0,0.002,0,0.031,0.326,0.283,1.569,1.604,0.008,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-24.agents
3.533,2060,3924,383563,1091011,565,565,550,555,1131,1118,138,38,766,0,0,0,0.006,0,0.037,0.872,0.791,2.574,2.619,0.009,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-25.agents
0.22,129,254,24000,78895,580,580,573,574,105,23,8,4,94,0,0,0,0.001,0,0.003,0.033,0.032,0.171,0.174,0.008,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-26.agents
0.121,56,109,9431,34320,614,614,604,607,66,20,6,0,30,0,0,0,0,0,0.001,0.018,0.017,0.091,0.092,0.01,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-27.agents
0.541,329,591,84109,192798,578,578,567,571,249,179,17,0,133,0,0,0,0,0,0.01,0.063,0.058,0.452,0.463,0.012,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-28.agents
1.845,1260,2405,194906,532859,504,504,486,489,688,697,54,36,473,0,0,0,0,0,0.025,0.415,0.342,1.385,1.416,0.01,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-29.agents
0.455,357,712,35755,132391,478,478,469,472,346,140,69,0,148,0,0,0,0,0,0.007,0.062,0.059,0.371,0.38,0.01,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-30.agents
0.16,119,234,12674,39107,550,550,540,545,83,79,16,0,24,0,0,0,0.001,0.002,0.001,0.019,0.019,0.127,0.128,0.009,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-31.agents
0.34,218,420,27029,81144,534,534,529,529,138,152,23,0,43,0,0,0,0,0,0.005,0.054,0.048,0.27,0.275,0.01,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-32.agents
0.091,63,118,9518,25805,505,505,498,501,41,42,8,0,13,0,0,0,0,0,0,0.012,0.011,0.07,0.07,0.009,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-33.agents
0.203,130,254,23003,69477,500,500,491,493,71,46,23,0,61,0,0,0,0.002,0,0.002,0.038,0.035,0.152,0.154,0.009,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-34.agents
8.039,5924,11117,719280,1972978,525,525,512,517,3832,4512,280,39,1093,0,0,0,0.005,0.001,0.12,1.552,1.2,6.266,6.403,0.01,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-35.agents
0.351,221,443,36697,110000,561,561,554,558,190,68,30,0,123,0,0,0,0.002,0,0.008,0.051,0.034,0.278,0.286,0.01,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-36.agents
0.041,14,28,2521,9567,547,547,543,545,23,3,7,0,4,0,0,0,0,0,0,0.006,0.004,0.024,0.024,0.01,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-37.agents
0.115,87,173,9227,30460,509,509,497,501,56,29,20,0,38,0,0,0,0,0.001,0.003,0.023,0.019,0.078,0.081,0.01,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-38.agents
0.158,86,170,15233,44433,557,557,550,553,74,29,8,0,49,0,0,0,0,0,0.003,0.016,0.014,0.124,0.128,0.009,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-39.agents
0.037,11,23,2450,8557,538,538,534,535,15,7,0,0,4,0,0,0,0,0,0,0.004,0.004,0.022,0.022,0.014,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-40.agents
0.03,9,19,1727,6822,519,519,517,518,12,3,1,0,5,0,0,0,0,0,0.001,0.004,0.003,0.016,0.017,0.011,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-41.agents
2.498,2003,3895,321171,855556,539,539,525,529,728,162,199,0,1642,0,0,0,0.004,0.002,0.028,0.235,0.2,2.198,2.233,0.008,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-42.agents
0.181,140,281,12434,45018,549,549,541,542,111,25,13,0,102,0,0,0,0,0,0.003,0.026,0.022,0.141,0.145,0.008,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-43.agents
0.253,155,307,15552,59081,474,474,465,468,297,89,27,0,39,0,0,0,0.001,0,0.005,0.031,0.024,0.204,0.211,0.01,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-44.agents
0.395,214,421,44598,130991,636,636,628,631,160,59,7,0,148,0,0,0,0,0,0.002,0.071,0.064,0.313,0.315,0.009,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-45.agents
0.108,38,76,15884,32859,512,512,495,496,34,14,11,0,13,0,0,0,0,0.001,0,0.027,0.023,0.071,0.071,0.009,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-46.agents
0.054,20,39,3973,14543,599,599,593,595,28,7,2,0,11,0,0,0,0,0,0.002,0.008,0.008,0.035,0.036,0.009,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-47.agents
0.146,64,123,20385,43725,568,568,550,554,41,32,15,1,16,0,0,0,0,0,0.003,0.03,0.029,0.102,0.105,0.011,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-48.agents
0.221,142,283,20819,57383,487,487,472,474,95,38,6,0,98,0,0,0,0,0,0.005,0.03,0.025,0.176,0.181,0.012,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-49.agents
0.519,335,664,39129,117101,567,567,554,557,196,91,16,0,228,0,0,0,0,0,0.011,0.078,0.067,0.412,0.425,0.011,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-0.agents
4.958,3592,6712,377649,967695,533,533,525,525,1776,2397,198,143,854,0,0,0,0.009,0,0.081,0.902,0.731,3.898,3.99,0.012,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-1.agents
0.24,142,275,16089,57910,540,540,534,536,109,49,8,0,85,0,0,0,0,0,0,0.046,0.029,0.183,0.184,0.01,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-2.agents
0.209,128,239,13849,44984,601,601,590,592,96,70,5,27,26,0,0,0,0,0,0.008,0.036,0.029,0.149,0.159,0.01,Disjoint CG+RM+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-3.agents
