runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of classifying conflicts,runtime of building MDDs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
60.004,34012,64504,4050233,12181071,-1,805,789,795,22158,20501,3073,105,10333,0,0,0,0.088,0.007,0.992,13.26,7.962,45.124,46.253,0.011,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-0.agents
60.001,24296,48550,7975436,18252528,-1,759,732,737,12424,1597,1840,119,20740,0,0,0,0.077,0.05,0.925,11.648,7.768,46.776,47.821,0.013,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-1.agents
59.955,28140,53899,4872977,13289994,803,803,784,788,22747,17465,2469,1121,7085,0,0,0,0.071,0.012,0.846,14.361,9.152,44.181,45.116,0.02,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-2.agents
60.001,31409,60049,3756937,10840645,-1,835,821,826,18355,21446,2232,388,7343,0,0,0,0.1,0.006,0.968,16.09,9.918,42.34,43.431,0.014,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-3.agents
0.613,259,514,71813,170453,794,794,780,781,229,148,2,0,109,0,0,0,0,0,0.002,0.13,0.112,0.46,0.462,0.014,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-4.agents
60.001,31225,62381,4258761,13550069,-1,789,767,775,23549,1262,2299,146,27518,0,0,0,0.053,0.028,1.179,10.424,5.315,47.666,48.997,0.016,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-5.agents
60.001,30434,60435,6401560,14901195,-1,819,796,803,7232,4200,1857,54,24323,0,0,0,0.088,0.024,1.031,13.719,9.926,44.578,45.728,0.013,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-6.agents
60.001,26252,50621,5457389,13971074,-1,851,826,833,20248,14812,2194,1098,8148,0,0,0,0.08,0.008,0.863,15.414,10.308,43.208,44.178,0.019,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-7.agents
14.923,6443,12685,1502469,3649104,830,830,810,817,5260,3017,285,234,2907,0,0,0,0.019,0.004,0.218,3.843,2.935,10.721,10.966,0.014,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-8.agents
60.001,40343,80524,6297616,18833665,-1,819,798,806,10002,1435,3064,0,35844,0,0,0,0.09,0.034,1.058,8.037,5.713,50.218,51.4,0.017,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-9.agents
60.002,29921,59763,8650289,18638183,-1,808,776,780,4965,817,1088,0,28016,0,0,0,0.06,0.005,0.8,14.6,11.754,44.074,44.973,0.013,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-10.agents
60.001,20776,41447,8559983,18800572,-1,819,786,796,7929,2488,3404,984,13900,0,0,0,0.062,0.124,0.934,11.485,7.094,46.928,47.966,0.014,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-11.agents
60.002,37688,73002,4019712,12674427,-1,767,740,746,12962,11243,3681,225,22539,0,0,0,0.122,0.014,1.147,11.954,7.938,46.111,47.389,0.015,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-12.agents
60.001,31311,61880,6237840,18656771,-1,882,861,867,15634,1355,1027,0,28929,0,0,0,0.064,0.01,1.042,9.998,7.72,48.317,49.496,0.014,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-13.agents
60.001,34591,66884,5089964,13135000,-1,724,706,710,16921,20806,2906,373,10506,0,0,0,0.097,0.013,0.942,15.558,10.59,42.843,43.912,0.013,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-14.agents
4.146,2001,3987,542848,1249174,730,730,713,714,888,124,2,0,1875,0,0,0,0.006,0.002,0.051,0.941,0.849,3.106,3.16,0.013,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-15.agents
60.003,26556,53027,9036804,20885754,-1,746,723,726,8373,679,1673,0,24204,0,0,0,0.085,0.046,0.781,10.954,8.164,47.644,48.534,0.016,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-17.agents
60.002,30499,60749,5570394,18045299,-1,840,819,826,20987,3477,1384,970,24668,0,0,0,0.073,0.021,1.064,11.174,8.424,47.094,48.301,0.014,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-18.agents
60.001,20799,40413,12037791,21167346,-1,896,872,878,5778,323,478,42,19956,0,0,0,0.062,0.015,0.652,9.227,7.489,49.669,50.399,0.014,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-19.agents
60.002,30308,60447,8504705,19654543,-1,813,789,796,16575,386,2455,1,27466,0,0,0,0.075,0.012,0.875,10.249,8.146,48.344,49.33,0.013,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-20.agents
60.001,25306,50373,6264247,14693462,-1,831,804,815,16507,3962,3623,2042,15679,0,0,0,0.061,0.214,0.977,12.221,4.394,46.096,47.178,0.014,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-21.agents
60.001,36813,72684,5179490,14262180,-1,754,736,742,23265,15349,2097,75,19292,0,0,0,0.094,0.012,0.982,8.457,6.045,49.889,50.996,0.013,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-22.agents
60.002,34271,67702,5371915,15729090,-1,815,785,791,21121,7163,1990,1704,23414,0,0,0,0.074,0.019,1.008,10.446,7.347,47.89,49.03,0.014,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-23.agents
60.001,30652,57863,4232414,12186133,-1,899,884,889,17912,17150,1681,1233,10588,0,0,0,0.081,0.003,0.982,14.133,8.399,44.265,45.359,0.013,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-24.agents
60.002,21925,43743,11548584,23423801,-1,890,865,869,9957,246,2704,34,18941,0,0,0,0.061,0.004,0.739,10.082,6.778,48.732,49.546,0.013,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-25.agents
60.001,34952,69586,4107394,12993066,-1,886,859,868,16608,2495,1128,14,31315,0,0,0,0.088,0.03,1.094,11.735,8.215,46.441,47.697,0.013,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-26.agents
60.001,31395,62688,6194186,16593079,-1,857,824,832,17759,1800,2110,11,27474,0,0,0,0.075,0.037,1.019,12.144,8.75,46.174,47.317,0.014,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-27.agents
60.002,35486,70734,6458365,16470347,-1,703,683,689,16741,4374,2798,0,28314,0,0,0,0.101,0.06,1.016,13.436,8.62,44.754,45.888,0.015,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-28.agents
60.002,32356,62274,4897816,13495035,-1,781,755,761,19115,12966,3809,565,15016,0,0,0,0.102,0.03,0.945,14.409,9.72,43.902,44.97,0.011,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-29.agents
4.461,2327,4450,282543,884830,834,834,816,819,2151,1775,117,28,407,0,0,0,0.012,0.002,0.061,0.869,0.627,3.469,3.538,0.014,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-30.agents
13.566,7088,14170,992325,3167380,807,807,786,795,5241,1137,502,2,5447,0,0,0,0.023,0.012,0.254,3.13,1.675,10.004,10.289,0.014,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-31.agents
