runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of classifying conflicts,runtime of building MDDs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
1.791,80,160,140327,398907,9168,9168,9159,9164,14,75,5,0,0,0,0,0,0,0.002,0.014,0.343,0.334,1.193,1.206,0.899,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-70agents-0.agents
22.529,1090,2170,2557514,5687667,7746,7746,7732,7738,22,1061,29,0,0,0,0,0,0.04,0.229,0.142,5.599,5.209,16.2,16.347,1.178,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-70agents-1.agents
0.761,28,57,49227,143390,7057,7057,7051,7053,8,27,1,0,0,0,0,0,0,0,0.006,0.221,0.119,0.362,0.367,0.817,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-70agents-2.agents
1.886,88,176,138517,366588,8548,8548,8538,8543,13,88,0,0,0,0,0,0,0.001,0.008,0.01,0.342,0.337,1.224,1.233,0.937,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-70agents-3.agents
1.439,57,112,148425,326098,7891,7891,7884,7889,13,54,3,0,0,0,0,0,0,0.001,0.007,0.345,0.25,0.893,0.899,0.831,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-70agents-5.agents
5.407,245,491,361551,1022992,7633,7633,7622,7628,13,214,23,0,8,0,0,0,0.003,0.009,0.025,2.204,0.848,2.986,3.013,0.897,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-70agents-6.agents
4.156,113,224,602176,1047485,7759,7759,7741,7747,9,102,8,0,3,0,0,0,0.001,0.006,0.017,1.269,0.798,2.68,2.697,0.844,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-70agents-7.agents
0.92,48,97,68526,207791,7767,7767,7759,7763,9,48,0,0,0,0,0,0,0,0.001,0.008,0.176,0.174,0.552,0.559,0.838,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-70agents-8.agents
1.418,97,194,100290,284608,7092,7092,7081,7086,5,95,1,0,1,0,0,0,0,0.004,0.008,0.247,0.246,0.985,0.994,0.852,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-70agents-10.agents
8.556,303,607,603216,1556692,9155,9155,9143,9150,10,299,4,0,0,0,0,0,0.001,0.021,0.034,3.893,1.587,4.382,4.418,0.81,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-70agents-12.agents
5.586,445,888,264511,804490,7926,7926,7914,7920,12,426,18,0,1,0,0,0,0.005,0.014,0.031,0.8,0.672,4.553,4.585,0.836,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-70agents-14.agents
15.88,661,1322,1618751,3842436,8285,8285,8270,8277,11,659,1,0,1,0,0,0,0.009,0.174,0.079,5.292,4.409,10.105,10.185,0.838,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-70agents-15.agents
0.557,13,26,31212,108575,8268,8268,8261,8265,8,13,0,0,0,0,0,0,0,0.002,0.006,0.141,0.072,0.231,0.235,0.897,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-70agents-16.agents
3.591,218,436,210752,715731,8380,8380,8368,8375,5,218,0,0,0,0,0,0,0.002,0.044,0.029,0.741,0.696,2.538,2.567,0.849,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-70agents-17.agents
0.323,7,14,17177,68484,7715,7715,7711,7713,10,7,0,0,0,0,0,0,0,0,0.005,0.029,0.029,0.121,0.125,0.855,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-70agents-19.agents
1.514,69,138,96523,286493,8139,8139,8129,8134,8,69,0,0,0,0,0,0,0,0.007,0.011,0.277,0.267,1.021,1.033,0.862,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-70agents-20.agents
4.806,236,473,372896,1076772,7631,7631,7622,7627,145,105,91,0,40,0,0,0,0.001,0,0.033,1.019,0.463,3.55,3.587,1.105,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-70agents-21.agents
43.908,2032,4065,4409996,10572765,8141,8141,8122,8131,9,1988,43,0,1,0,0,0,0.101,0.488,0.278,13.13,8.546,29.638,29.927,0.826,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-70agents-22.agents
2.899,106,211,288609,552679,7911,7911,7901,7906,10,102,2,0,2,0,0,0,0,0.006,0.014,1.032,0.374,1.674,1.688,0.832,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-70agents-23.agents
1.122,37,74,111971,298335,8267,8267,8244,8248,7,33,3,0,1,0,0,0,0,0,0.008,0.261,0.242,0.659,0.664,0.919,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-70agents-24.agents
1.389,95,190,63961,237161,7981,7981,7971,7978,6,92,3,0,0,0,0,0,0.001,0.006,0.012,0.233,0.226,0.933,0.945,0.808,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-70agents-25.agents
1.559,106,212,123330,366969,7671,7671,7661,7667,8,91,15,0,0,0,0,0,0,0.002,0.016,0.239,0.23,1.117,1.131,0.81,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-70agents-26.agents
5.221,272,544,404010,1133379,8345,8345,8332,8338,14,251,21,0,0,0,0,0,0.004,0.048,0.031,1.411,1.05,3.514,3.544,0.83,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-70agents-28.agents
1.151,55,109,101628,241731,8480,8480,8471,8476,11,54,1,0,0,0,0,0,0.001,0.002,0.01,0.167,0.164,0.761,0.77,0.941,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-70agents-29.agents
1.081,50,98,93228,220197,7503,7503,7493,7499,6,46,3,0,1,0,0,0,0.001,0.004,0.005,0.219,0.134,0.677,0.681,0.838,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-70agents-30.agents
2.414,148,297,188601,526518,8000,8000,7990,7996,7,146,1,0,1,0,0,0,0.001,0.014,0.019,0.507,0.361,1.691,1.71,0.834,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-70agents-31.agents
15.16,608,1216,1942043,4284475,9371,9371,9356,9363,11,604,3,0,1,0,0,0,0.012,0.067,0.074,4.024,3.732,10.742,10.82,0.857,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-70agents-32.agents
0.398,7,15,25934,91891,8730,8730,8726,8728,11,7,0,0,0,0,0,0,0,0,0.004,0.042,0.04,0.151,0.154,0.848,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-70agents-34.agents
0.82,28,56,61203,179145,8458,8458,8451,8455,12,26,1,0,1,0,0,0,0,0,0.004,0.132,0.122,0.469,0.471,0.836,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-70agents-35.agents
50.271,2105,4205,3723446,9252276,8680,8680,8664,8674,196,1853,250,0,2,0,0,0,0.106,1.603,0.25,16.874,8.825,31.15,31.408,0.854,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-70agents-36.agents
0.495,15,31,26642,88790,7544,7544,7536,7539,10,14,0,0,1,0,0,0,0,0,0.003,0.079,0.059,0.248,0.25,0.831,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-70agents-37.agents
2.041,30,59,457006,590363,8548,8548,8527,8535,11,27,0,0,3,0,0,0,0,0.001,0.006,0.169,0.164,1.639,1.643,0.847,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-70agents-38.agents
1.254,49,98,88504,251015,7911,7911,7901,7907,11,46,1,0,2,0,0,0,0.001,0.008,0.005,0.355,0.227,0.685,0.689,0.83,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-70agents-39.agents
