runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of classifying conflicts,runtime of building MDDs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.085,69,90,7250,22125,446,446,440,442,28,60,3,0,6,0,0,0,0,0,0.001,0.024,0.016,0.054,0.055,0.006,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-0.agents
0.093,63,124,8591,28767,354,354,350,351,41,41,0,0,22,0,0,0,0,0,0,0.02,0.014,0.068,0.068,0.007,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-1.agents
0.022,16,27,1566,5591,382,382,378,379,16,4,5,0,7,0,0,0,0,0,0.001,0.001,0.001,0.014,0.015,0.007,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-2.agents
0.023,11,22,2627,8530,392,392,386,387,11,1,0,1,9,0,0,0,0,0,0,0.004,0.004,0.012,0.013,0.009,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-3.agents
0.013,5,10,937,3871,433,433,433,433,6,4,0,0,1,0,0,0,0,0,0.001,0.002,0.002,0.005,0.006,0.007,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-4.agents
0.011,5,11,835,3352,373,373,371,371,8,4,0,0,1,0,0,0,0,0,0,0.001,0.001,0.005,0.005,0.008,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-5.agents
0.028,26,44,1850,7175,391,391,388,389,13,15,9,0,2,0,0,0,0,0,0,0.004,0.002,0.019,0.019,0.007,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-6.agents
0.056,70,129,4104,14621,372,372,365,366,25,35,11,1,23,0,0,0,0,0,0,0.009,0.007,0.041,0.041,0.007,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-7.agents
0.009,4,8,788,3132,387,387,384,384,5,2,0,0,2,0,0,0,0,0,0,0.001,0.001,0.004,0.004,0.007,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-8.agents
0.014,9,17,1174,4558,422,422,418,421,9,5,1,0,3,0,0,0,0,0,0,0.003,0.003,0.007,0.007,0.009,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-9.agents
0.107,73,141,7565,23942,406,406,394,398,52,49,0,1,23,0,0,0,0.001,0,0,0.021,0.018,0.079,0.079,0.008,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-10.agents
0.313,138,275,80227,147498,399,399,385,388,84,17,7,0,114,0,0,0,0,0,0.005,0.037,0.034,0.266,0.271,0.007,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-11.agents
0.012,6,12,1118,3952,356,356,352,353,4,1,0,0,5,0,0,0,0,0,0,0.001,0,0.006,0.006,0.007,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-12.agents
0.012,11,22,1192,4272,394,394,387,390,3,0,2,1,8,0,0,0,0,0,0,0,0,0.007,0.007,0.007,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-13.agents
0.075,38,77,5321,17485,438,438,434,436,22,23,4,0,11,0,0,0,0,0,0.002,0.019,0.015,0.047,0.049,0.007,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-14.agents
0.019,7,15,1237,5018,437,437,434,436,7,3,1,0,3,0,0,0,0,0,0,0.004,0.004,0.009,0.009,0.007,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-15.agents
0.009,5,11,804,3099,367,367,365,366,4,3,0,1,1,0,0,0,0,0,0,0,0,0.005,0.005,0.006,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-16.agents
2.464,1503,2990,385538,894196,445,445,424,429,453,267,36,14,1186,0,0,0,0.006,0.003,0.026,0.4,0.293,2.005,2.035,0.009,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-17.agents
0.04,8,16,8107,12149,470,470,457,458,7,6,0,0,2,0,0,0,0,0,0,0.008,0.008,0.025,0.025,0.006,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-18.agents
0.015,6,12,805,3074,375,375,370,372,5,3,0,0,3,0,0,0,0,0,0,0.003,0.003,0.007,0.007,0.007,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-19.agents
0.019,7,14,1618,5806,397,397,395,396,8,3,0,0,4,0,0,0,0,0,0,0.001,0.001,0.011,0.011,0.01,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-20.agents
0.02,11,21,2349,6322,405,405,403,404,9,8,0,0,3,0,0,0,0,0,0,0.002,0.002,0.012,0.013,0.009,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-21.agents
0.068,36,72,5204,18652,458,458,455,456,47,23,1,0,12,0,0,0,0.001,0,0,0.003,0.002,0.058,0.058,0.007,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-22.agents
0.05,42,85,4560,15943,387,387,381,383,5,33,3,1,5,0,0,0,0,0,0,0.02,0.009,0.025,0.025,0.008,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-23.agents
0.022,13,26,2075,7698,394,394,391,392,16,7,2,2,2,0,0,0,0,0,0,0.004,0.004,0.012,0.012,0.008,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-24.agents
0.829,648,888,76827,227089,420,420,414,415,393,544,56,1,47,0,0,0,0,0,0.003,0.19,0.109,0.624,0.629,0.009,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-25.agents
0.05,34,69,6307,17214,415,415,407,410,20,3,0,4,27,0,0,0,0,0,0,0.007,0.006,0.036,0.036,0.01,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-26.agents
0.011,1,3,725,2835,362,362,362,362,7,1,0,0,0,0,0,0,0,0,0,0.002,0.002,0.003,0.003,0.008,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-27.agents
0.024,18,35,1825,6441,391,391,387,387,9,11,1,0,6,0,0,0,0,0,0,0.002,0.002,0.015,0.016,0.009,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-28.agents
0.049,19,33,5604,11906,446,446,444,444,19,16,1,0,2,0,0,0,0,0,0,0.008,0.003,0.035,0.035,0.008,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-29.agents
0.077,51,100,5526,20723,463,463,460,461,30,26,1,4,20,0,0,0,0,0,0.003,0.027,0.016,0.041,0.044,0.007,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-30.agents
0.021,12,24,1939,6289,378,378,373,375,11,8,0,0,4,0,0,0,0,0,0.001,0.004,0.002,0.012,0.013,0.007,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-31.agents
0.027,22,42,2023,7123,394,394,390,392,13,17,0,0,5,0,0,0,0,0,0,0.004,0.003,0.019,0.019,0.01,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-32.agents
0.013,4,9,911,3734,453,453,452,453,3,2,0,0,2,0,0,0,0,0,0.002,0,0,0.004,0.006,0.008,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-33.agents
0.012,6,13,973,3658,357,357,353,355,9,3,1,0,2,0,0,0,0,0,0,0.001,0,0.006,0.006,0.008,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-34.agents
0.019,11,22,1329,5119,444,444,436,440,7,6,0,0,5,0,0,0,0,0,0,0.003,0.003,0.011,0.011,0.006,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-35.agents
0.011,4,9,723,2960,365,365,360,363,7,3,0,0,1,0,0,0,0,0,0,0.001,0.001,0.004,0.004,0.008,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-36.agents
0.018,4,9,1011,3859,398,398,397,397,6,3,0,0,1,0,0,0,0,0,0,0.004,0.004,0.008,0.008,0.009,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-37.agents
0.55,418,822,40850,128570,455,455,449,450,132,257,14,9,138,0,0,0,0,0,0.009,0.121,0.086,0.406,0.417,0.009,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-30agents-38.agents
