runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of classifying conflicts,runtime of building MDDs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.068,2,4,4379,19998,3593,3593,3592,3593,2,2,0,0,0,0,0,0,0,0,0,0.01,0.01,0.012,0.012,0.379,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-30agents-0.agents
0.055,2,4,4251,18880,3164,3164,3163,3164,1,2,0,0,0,0,0,0,0,0,0,0.007,0.007,0.009,0.009,0.405,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-30agents-1.agents
0.092,2,4,8810,33089,3890,3890,3888,3889,4,2,0,0,0,0,0,0,0,0,0,0.016,0.016,0.027,0.027,0.359,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-30agents-2.agents
0.046,1,3,4157,16589,2899,2899,2897,2898,0,1,0,0,0,0,0,0,0,0,0.001,0,0,0.007,0.007,0.396,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-30agents-3.agents
0.173,10,20,19112,59694,3557,3557,3552,3555,2,10,0,0,0,0,0,0,0,0,0.001,0.051,0.029,0.081,0.082,0.361,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-30agents-4.agents
0.058,1,3,5117,21505,3309,3309,3309,3309,1,1,0,0,0,0,0,0,0,0,0,0.003,0.002,0.01,0.01,0.361,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-30agents-5.agents
0.048,1,3,3873,16412,3311,3311,3309,3310,0,1,0,0,0,0,0,0,0,0,0,0.002,0.002,0.006,0.006,0.376,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-30agents-6.agents
0.099,2,5,7104,30254,4072,4072,4071,4071,4,2,0,0,0,0,0,0,0,0,0,0.013,0.01,0.028,0.028,0.365,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-30agents-7.agents
0.105,10,21,7049,29741,2889,2889,2885,2887,6,9,1,0,0,0,0,0,0,0,0,0.018,0.014,0.053,0.053,0.376,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-30agents-8.agents
0.108,5,10,13314,39473,3144,3144,3140,3142,2,5,0,0,0,0,0,0,0,0,0,0.021,0.021,0.044,0.044,0.374,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-30agents-9.agents
