runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of classifying conflicts,runtime of building MDDs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.093,1,3,6646,28758,4646,4646,4646,4646,3,1,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.02,0.464,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-40agents-0.agents
0.158,5,10,8830,36759,4569,4569,4565,4568,4,2,2,0,1,0,0,0,0,0,0.001,0.027,0.021,0.063,0.064,0.455,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-40agents-1.agents
0.134,2,5,9986,35346,4655,4655,4653,4654,4,2,0,0,0,0,0,0,0,0,0,0.011,0.011,0.038,0.038,0.482,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-40agents-2.agents
0.145,6,12,11296,43148,4584,4584,4582,4583,4,5,0,0,1,0,0,0,0,0,0,0.021,0.021,0.052,0.052,0.482,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-40agents-3.agents
0.258,14,28,22070,68768,4854,4854,4848,4851,3,13,0,0,1,0,0,0,0,0,0,0.045,0.045,0.138,0.139,0.459,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-40agents-4.agents
0.496,48,95,37448,108268,4144,4144,4138,4141,18,42,6,0,0,0,0,0,0.001,0,0.002,0.069,0.052,0.357,0.359,0.454,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-40agents-5.agents
0.076,2,4,5302,23641,4170,4170,4169,4170,0,1,0,0,1,0,0,0,0,0,0,0.005,0.004,0.012,0.012,0.453,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-40agents-6.agents
0.119,3,6,6100,26702,4220,4220,4218,4219,3,3,0,0,0,0,0,0,0,0,0,0.015,0.015,0.025,0.025,0.47,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-40agents-7.agents
0.236,9,19,30308,87399,4943,4943,4939,4941,2,9,0,0,0,0,0,0,0,0.001,0.001,0.038,0.037,0.122,0.123,0.469,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-40agents-8.agents
0.069,0,1,4342,19808,4302,4302,4302,4302,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.469,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-40agents-9.agents
0.139,2,5,6801,30073,4532,4532,4531,4532,6,2,0,0,0,0,0,0,0,0,0.002,0.04,0.013,0.032,0.033,0.464,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-40agents-10.agents
0.178,8,17,17356,57995,4122,4122,4114,4117,5,7,0,0,1,0,0,0,0,0,0,0.029,0.029,0.086,0.086,0.469,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-40agents-11.agents
0.669,22,44,55719,157318,5060,5060,5054,5057,15,20,0,0,2,0,0,0,0,0,0.004,0.301,0.108,0.281,0.284,0.464,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-40agents-12.agents
0.154,5,11,9222,37551,4254,4254,4251,4253,5,4,1,0,0,0,0,0,0,0,0,0.037,0.026,0.05,0.05,0.481,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-40agents-13.agents
0.13,5,10,12433,35276,4535,4535,4533,4534,3,4,0,0,1,0,0,0,0,0,0,0.007,0.007,0.054,0.054,0.49,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-40agents-14.agents
0.094,1,3,5775,26724,4529,4529,4529,4529,3,1,0,0,0,0,0,0,0,0,0.001,0.008,0.008,0.022,0.023,0.465,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-40agents-15.agents
0.121,3,6,8014,32748,4603,4603,4601,4602,5,3,0,0,0,0,0,0,0,0,0,0.019,0.019,0.04,0.04,0.452,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-40agents-16.agents
0.588,29,58,55372,152604,4641,4641,4633,4637,6,29,0,0,0,0,0,0,0,0,0.004,0.178,0.152,0.334,0.339,0.458,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-40agents-17.agents
0.13,2,5,8517,34675,4855,4855,4853,4854,6,2,0,0,0,0,0,0,0,0,0,0.019,0.019,0.038,0.038,0.484,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-40agents-18.agents
