runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of classifying conflicts,runtime of building MDDs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.174,65,130,8331,28356,585,585,574,579,79,23,7,2,33,0,0,0,0.001,0,0,0.027,0.016,0.132,0.133,0.012,Disjoint CG+R+C+T+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-0.agents
7.873,3812,7369,419094,1325368,756,756,733,739,1124,791,526,2,2493,0,0,0,0.011,0.003,0.09,0.995,0.826,6.696,6.797,0.014,Disjoint CG+R+C+T+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-1.agents
27.578,14043,27698,1204285,4300855,681,681,643,650,9614,4892,2023,267,6861,0,0,0,0.029,0.016,0.406,2.754,2.071,24.125,24.586,0.01,Disjoint CG+R+C+T+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-2.agents
0.795,310,615,33680,107714,693,693,680,685,268,158,9,14,129,0,0,0,0,0,0.017,0.115,0.094,0.637,0.654,0.011,Disjoint CG+R+C+T+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-3.agents
1.213,471,943,68871,199565,635,635,620,626,513,115,39,18,299,0,0,0,0.002,0.001,0.014,0.155,0.123,1.02,1.034,0.01,Disjoint CG+R+C+T+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-4.agents
1.581,684,1315,78104,284887,739,739,732,736,491,171,290,24,199,0,0,0,0.004,0,0.018,0.184,0.154,1.349,1.368,0.011,Disjoint CG+R+C+T+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-5.agents
22.1,10752,21168,1293392,3559972,673,673,651,655,2381,3347,639,408,6358,0,0,0,0.021,0.004,0.272,3.677,2.847,17.959,18.27,0.01,Disjoint CG+R+C+T+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-6.agents
0.292,94,184,8742,32808,660,660,650,655,71,63,6,0,25,0,0,0,0,0.001,0.007,0.023,0.022,0.237,0.244,0.017,Disjoint CG+R+C+T+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-7.agents
7.529,3272,6460,437277,1286465,719,719,701,706,1521,788,300,8,2176,0,0,0,0.015,0.001,0.096,1.208,0.874,6.135,6.245,0.01,Disjoint CG+R+C+T+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-8.agents
0.077,24,48,3226,11722,668,668,660,663,37,7,6,0,11,0,0,0,0,0,0,0.01,0.008,0.05,0.05,0.011,Disjoint CG+R+C+T+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-9.agents
60.001,25452,48206,3370537,9486350,-1,681,662,668,14842,14246,1794,432,8980,0,0,0,0.071,0.01,0.738,10.147,7.725,48.581,49.428,0.01,Disjoint CG+R+C+T+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-10.agents
60.001,29694,57295,3500234,9817215,-1,664,639,649,13076,9653,4070,372,15599,0,0,0,0.064,0.034,0.836,9.003,6.39,49.623,50.547,0.01,Disjoint CG+R+C+T+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-11.agents
13.98,6171,12112,727591,2202200,706,706,691,693,3623,3158,376,460,2177,0,0,0,0.015,0,0.151,2.263,1.573,11.451,11.617,0.011,Disjoint CG+R+C+T+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-12.agents
1.175,493,941,65311,190832,693,693,671,673,380,200,78,1,214,0,0,0,0.003,0,0.015,0.114,0.098,1.021,1.037,0.011,Disjoint CG+R+C+T+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-13.agents
27.086,4310,8155,437425,1377811,742,742,725,730,2223,1476,353,268,2213,0,0,0,0.04,0.003,0.322,3.901,2.986,22.641,23.005,0.01,Disjoint CG+R+C+T+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-14.agents
60.001,26276,51645,3538699,9787673,-1,603,581,587,14990,4455,1730,24,20067,0,0,0,0.05,0.015,0.763,10.583,6.57,48.142,49.013,0.01,Disjoint CG+R+C+T+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-15.agents
46.451,23121,43210,2271983,7460710,677,677,665,667,12524,13487,3717,26,5891,0,0,0,0.039,0.006,0.495,7.307,6.093,38.297,38.859,0.011,Disjoint CG+R+C+T+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-16.agents
0.161,64,126,8157,27078,629,629,619,623,80,32,6,0,26,0,0,0,0,0,0.002,0.016,0.015,0.128,0.129,0.01,Disjoint CG+R+C+T+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-17.agents
0.599,285,571,37184,98961,660,660,653,655,156,96,3,0,186,0,0,0,0.001,0,0.008,0.055,0.047,0.513,0.524,0.012,Disjoint CG+R+C+T+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-18.agents
0.7,357,715,33823,116030,656,656,645,648,252,33,19,0,305,0,0,0,0,0,0.009,0.067,0.06,0.602,0.611,0.011,Disjoint CG+R+C+T+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-19.agents
1.329,527,1027,71200,205450,754,754,740,743,327,109,149,64,205,0,0,0,0.001,0,0.02,0.139,0.116,1.146,1.168,0.011,Disjoint CG+R+C+T+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-20.agents
21.494,10859,21202,1079135,3098517,653,653,633,639,7693,4673,184,211,5791,0,0,0,0.027,0.011,0.27,2.609,1.993,18.378,18.693,0.017,Disjoint CG+R+C+T+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-21.agents
1.981,953,1778,88064,314377,741,741,730,734,593,453,282,0,218,0,0,0,0.002,0,0.02,0.202,0.161,1.73,1.75,0.012,Disjoint CG+R+C+T+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-22.agents
60.002,21083,41320,3514158,9591118,-1,718,695,702,13200,9482,1296,68,10237,0,0,0,0.049,0.008,0.578,11.594,9.806,47.417,48.102,0.01,Disjoint CG+R+C+T+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-23.agents
0.281,152,298,14013,48763,647,647,633,640,117,94,20,1,37,0,0,0,0.001,0.002,0.003,0.034,0.029,0.226,0.23,0.011,Disjoint CG+R+C+T+BP with SIPP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-24.agents
