runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of classifying conflicts,runtime of building MDDs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.408,256,508,29268,89538,567,567,554,557,153,85,3,0,168,0,0,0,0.001,0,0.007,0.071,0.052,0.314,0.321,0.011,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-0.agents
5.849,4269,7849,514868,1196591,533,533,525,525,2027,3050,104,149,966,0,0,0,0.007,0.001,0.069,1.182,0.849,4.522,4.602,0.009,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-1.agents
0.271,182,358,19436,69608,540,540,534,536,128,73,11,0,98,0,0,0,0,0,0.004,0.061,0.039,0.195,0.201,0.008,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-2.agents
0.297,178,326,20401,62755,601,601,590,592,139,123,8,25,22,0,0,0,0.001,0.001,0.005,0.069,0.041,0.21,0.215,0.009,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-3.agents
0.111,70,133,10213,33962,572,572,565,566,39,23,0,0,47,0,0,0,0,0,0.001,0.022,0.017,0.079,0.08,0.009,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-4.agents
0.029,9,18,1634,6511,523,523,522,522,15,7,0,0,2,0,0,0,0,0,0.001,0.009,0.007,0.009,0.01,0.009,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-5.agents
0.021,5,11,1463,5389,534,534,532,534,11,2,1,0,2,0,0,0,0,0,0,0.002,0.002,0.01,0.01,0.01,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-6.agents
0.083,28,46,15175,22746,543,543,540,540,11,20,2,0,6,0,0,0,0,0,0,0.01,0.007,0.062,0.062,0.009,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-7.agents
7.3,4249,7537,848480,2043818,610,610,596,599,1992,3093,83,173,900,0,0,0,0.009,0,0.077,1.945,1.315,5.211,5.297,0.008,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-8.agents
0.153,84,169,16958,48852,534,534,527,528,71,19,0,0,65,0,0,0,0,0,0.002,0.029,0.024,0.113,0.115,0.009,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-9.agents
0.631,501,874,49489,146597,536,536,526,531,299,409,47,0,45,0,0,0,0.004,0,0.006,0.128,0.08,0.478,0.486,0.009,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-10.agents
0.084,43,80,7093,21130,557,557,552,553,39,29,0,0,14,0,0,0,0,0,0,0.012,0.009,0.062,0.062,0.01,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-11.agents
0.095,74,141,10247,26002,451,451,439,444,70,59,4,0,11,0,0,0,0,0,0.002,0.008,0.008,0.078,0.08,0.009,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-40agents-12.agents
