runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of classifying conflicts,runtime of building MDDs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.126,3,6,9374,35957,5138,5138,5136,5137,2,3,0,0,0,0,0,0,0,0,0.001,0.013,0.013,0.027,0.027,0.558,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-0.agents
0.226,8,16,15890,57677,5788,5788,5783,5786,3,8,0,0,0,0,0,0,0,0.001,0.002,0.032,0.032,0.097,0.098,0.558,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-1.agents
0.19,6,13,10555,42317,5483,5483,5479,5482,2,5,1,0,0,0,0,0,0,0,0.002,0.023,0.013,0.057,0.058,0.64,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-2.agents
0.529,27,53,46783,121944,6393,6393,6386,6390,4,17,9,0,1,0,0,0,0,0,0.002,0.117,0.062,0.292,0.293,0.575,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-3.agents
1.398,9,17,370927,421824,6509,6509,6501,6504,4,8,0,0,1,0,0,0,0,0,0.002,0.038,0.037,1.24,1.24,0.635,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-4.agents
0.308,7,14,17977,64423,5560,5560,5557,5559,4,6,1,0,0,0,0,0,0,0,0,0.114,0.036,0.083,0.083,0.618,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-5.agents
0.164,4,8,9944,39148,5035,5035,5032,5034,3,3,1,0,0,0,0,0,0,0,0.001,0.03,0.018,0.04,0.04,0.583,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-6.agents
0.219,7,14,12309,47946,5258,5258,5254,5256,5,5,0,0,2,0,0,0,0,0,0.001,0.025,0.019,0.07,0.07,0.589,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-7.agents
0.289,10,20,20191,73370,5625,5625,5619,5623,8,9,1,0,0,0,0,0,0,0,0.002,0.052,0.038,0.118,0.119,0.582,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-8.agents
0.159,3,6,10437,41645,5885,5885,5882,5884,3,3,0,0,0,0,0,0,0,0,0.002,0.014,0.014,0.04,0.041,0.645,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-9.agents
0.197,5,10,8766,39471,5885,5885,5881,5884,6,4,1,0,0,0,0,0,0,0,0.001,0.022,0.021,0.068,0.069,0.574,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-10.agents
0.142,2,4,6706,30977,5485,5485,5483,5484,3,2,0,0,0,0,0,0,0,0,0.001,0.01,0.01,0.023,0.023,0.552,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-11.agents
0.23,4,9,18242,58389,5733,5733,5725,5727,3,3,0,0,1,0,0,0,0,0,0.001,0.043,0.025,0.073,0.074,0.577,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-12.agents
2.858,182,364,348144,834656,5039,5039,5028,5033,4,182,0,0,0,0,0,0,0.002,0.007,0.01,0.866,0.846,1.882,1.892,0.648,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-13.agents
0.142,1,2,7270,33773,6350,6350,6350,6350,4,1,0,0,0,0,0,0,0,0,0.001,0.016,0.016,0.02,0.02,0.578,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-14.agents
0.189,6,12,14753,49111,5450,5450,5446,5448,1,6,0,0,0,0,0,0,0,0,0.001,0.031,0.018,0.062,0.062,0.679,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-15.agents
0.354,13,26,36981,110528,5617,5617,5612,5615,2,12,1,0,0,0,0,0,0,0,0.001,0.072,0.055,0.175,0.175,0.614,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-16.agents
0.659,24,48,57644,188616,5048,5048,5043,5045,50,20,4,0,0,0,0,0,0,0,0,0.136,0.106,0.424,0.425,0.606,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-17.agents
0.138,3,7,6674,30590,5323,5323,5321,5323,1,1,2,0,0,0,0,0,0,0,0.001,0.015,0.008,0.037,0.037,0.576,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-18.agents
0.267,5,9,42055,77903,5433,5433,5430,5432,6,5,0,0,0,0,0,0,0,0,0.001,0.022,0.021,0.151,0.151,0.577,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-19.agents
0.161,3,6,9049,38305,5858,5858,5856,5857,4,3,0,0,0,0,0,0,0,0,0.001,0.015,0.015,0.04,0.04,0.624,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-20.agents
0.296,13,26,19050,69332,5870,5870,5865,5868,3,11,1,0,1,0,0,0,0,0,0.002,0.045,0.039,0.141,0.142,0.661,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-21.agents
0.326,15,30,28130,91308,5486,5486,5480,5483,7,15,0,0,0,0,0,0,0,0,0.001,0.07,0.068,0.158,0.158,0.549,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-22.agents
0.262,10,20,26163,78434,5719,5719,5714,5717,1,9,1,0,0,0,0,0,0,0,0.001,0.042,0.038,0.114,0.114,0.594,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-23.agents
0.426,13,26,33972,114969,5441,5441,5437,5439,7,6,7,0,0,0,0,0,0,0,0,0.135,0.044,0.197,0.197,0.556,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-24.agents
0.733,54,108,53821,184750,5564,5564,5556,5560,2,53,0,0,1,0,0,0,0,0.002,0.002,0.15,0.15,0.473,0.475,0.568,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-25.agents
0.458,26,53,30163,100243,5176,5176,5169,5172,11,14,0,0,12,0,0,0,0,0,0.005,0.072,0.071,0.284,0.288,0.618,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-26.agents
3.853,53,104,969344,1314611,7091,7091,7084,7087,5,52,1,0,0,0,0,0,0,0,0.006,0.423,0.361,3.29,3.299,0.577,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-27.agents
0.161,3,6,11621,45442,6207,6207,6205,6206,4,2,0,0,1,0,0,0,0,0,0,0.015,0.015,0.046,0.046,0.569,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-28.agents
0.171,4,9,14706,49112,4715,4715,4712,4714,2,4,0,0,0,0,0,0,0,0,0,0.02,0.018,0.048,0.048,0.586,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-29.agents
0.153,5,11,9345,36398,4700,4700,4696,4698,3,5,0,0,0,0,0,0,0,0,0.002,0.019,0.016,0.046,0.048,0.62,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-30.agents
0.314,11,22,16072,64864,6481,6481,6476,6479,7,10,0,0,1,0,0,0,0,0,0.005,0.046,0.046,0.133,0.137,0.564,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-31.agents
0.996,76,152,83237,255866,5268,5268,5258,5263,5,74,1,0,1,0,0,0,0,0.002,0.008,0.224,0.218,0.662,0.67,0.546,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-32.agents
0.6,20,40,86497,192656,5701,5701,5693,5696,6,19,0,0,1,0,0,0,0.001,0,0.002,0.153,0.139,0.337,0.339,0.628,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-33.agents
0.312,12,24,28810,87825,5936,5936,5929,5932,4,11,0,0,1,0,0,0,0,0,0,0.049,0.047,0.152,0.152,0.586,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-34.agents
0.15,3,6,18015,52449,4798,4798,4789,4792,0,0,1,0,2,0,0,0,0,0,0,0.021,0.011,0.048,0.048,0.621,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-35.agents
1.294,62,125,118451,307404,5434,5434,5426,5430,2,59,3,0,0,0,0,0,0,0,0.004,0.531,0.247,0.649,0.653,0.57,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-36.agents
0.462,9,17,91438,131160,5952,5952,5947,5950,6,7,2,0,0,0,0,0,0,0,0,0.049,0.035,0.311,0.312,0.628,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-37.agents
0.337,10,20,18256,58364,5143,5143,5137,5141,4,10,0,0,0,0,0,0,0,0,0.001,0.145,0.032,0.105,0.105,0.569,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-38.agents
0.139,2,4,7536,34342,5484,5484,5483,5484,5,2,0,0,0,0,0,0,0,0,0.001,0.01,0.01,0.036,0.036,0.577,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-39.agents
0.519,27,54,43231,136042,5049,5049,5042,5046,5,26,1,0,0,0,0,0,0,0,0.006,0.147,0.142,0.257,0.262,0.564,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-40.agents
0.266,7,15,21058,71216,5687,5687,5680,5683,6,6,0,0,1,0,0,0,0,0,0.002,0.044,0.037,0.105,0.107,0.579,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-41.agents
0.197,8,16,11880,45825,5194,5194,5189,5192,3,8,0,0,0,0,0,0,0,0,0.003,0.022,0.022,0.074,0.077,0.562,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-42.agents
0.161,6,12,15602,49923,4849,4849,4846,4848,3,5,1,0,0,0,0,0,0,0,0.003,0.012,0.012,0.069,0.071,0.546,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-43.agents
0.535,37,74,41047,134335,5317,5317,5310,5314,6,36,1,0,0,0,0,0,0,0,0.003,0.111,0.107,0.316,0.318,0.609,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-44.agents
0.276,13,26,20793,68125,5421,5421,5413,5417,1,12,0,0,1,0,0,0,0,0.001,0.002,0.046,0.04,0.128,0.129,0.567,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-45.agents
0.295,16,32,17768,62536,5329,5329,5322,5326,5,16,0,0,0,0,0,0,0,0.001,0.001,0.057,0.037,0.145,0.145,0.634,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-50agents-46.agents
