runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of classifying conflicts,runtime of building MDDs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
300.007,121929,240223,15746642,42471366,-1,834,804,834,13798,48417,13471,3607,56434,397661,103203,317067,88.586,7.037,3.236,37.314,29.737,138.012,165.819,0.019,Disjoint WDG+R+C+T+BP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-21.agents
30.762,16017,31832,2054798,6091624,755,755,736,743,12225,5065,323,88,10541,20625,6469,14071,4.278,0.773,0.43,1.874,1.571,19.549,23.598,0.021,Disjoint WDG+R+C+T+BP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-22.agents
300.008,148439,294725,22693666,66383082,-1,815,785,815,112707,24807,4629,4534,114469,161360,66061,117898,45.454,6.175,4.073,20.277,17.376,189.542,226.503,0.019,Disjoint WDG+R+C+T+BP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-23.agents
300.008,129845,249639,17956667,52960927,-1,899,884,899,63357,80991,9302,1616,37936,333247,69430,29706,59.524,5.6,3.441,37.451,29.844,160.769,193.099,0.02,Disjoint WDG+R+C+T+BP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-24.agents
300.008,102956,205129,37424697,83924826,-1,892,865,892,49245,3899,8767,79,90211,188051,50270,140582,77.043,4.334,3.051,32.886,31.952,160.361,184.361,0.019,Disjoint WDG+R+C+T+BP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-25.agents
300.008,155432,309950,18834299,56092458,-1,886,859,886,39197,15491,1862,183,137896,227866,96480,71946,64.36,6.747,3.585,22.676,24.342,172.944,204.867,0.018,Disjoint WDG+R+C+T+BP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-26.agents
300.009,117428,225730,23066759,62518862,-1,858,824,858,61552,6588,12219,111,98510,244549,85904,39781,71.934,5.437,3.21,28.762,27.819,163.476,192.618,0.019,Disjoint WDG+R+C+T+BP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-27.agents
300.01,132832,264465,22840922,57370560,-1,703,683,703,46823,20725,12020,2,100085,420758,135341,102899,93.668,6.595,3.279,33.597,30.98,139.06,164.768,0.019,Disjoint WDG+R+C+T+BP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-28.agents
300.294,110583,216204,19717195,50147022,-1,782,755,782,39815,22289,4752,6155,77387,283276,104659,53186,109.212,5.099,2.79,28.872,25.462,131.382,155.666,0.019,Disjoint WDG+R+C+T+BP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-29.agents
1.705,835,1644,84436,265005,834,834,816,822,336,596,15,20,204,1402,712,5,0.304,0.035,0.011,0.128,0.142,1.024,1.213,0.021,Disjoint WDG+R+C+T+BP,D:\MAPF-instances\10obs-20x20\10obs-20x20map-60agents-30.agents
