runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of classifying conflicts,runtime of building MDDs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.11,66,132,8077,27963,629,629,619,623,75,36,2,0,28,0,0,0,0,0,0.002,0.011,0.008,0.082,0.085,0.01,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-17.agents
0.417,260,512,38108,122316,660,660,653,655,192,77,5,1,177,0,0,0,0,0,0.008,0.063,0.043,0.33,0.338,0.012,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-18.agents
1.027,516,1012,100581,270331,754,754,740,743,357,89,92,88,247,0,0,0,0.001,0.001,0.014,0.244,0.147,0.748,0.763,0.011,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-20.agents
30.601,18615,36549,3109405,7059151,653,653,633,639,12183,6561,798,189,11067,0,0,0,0.04,0.011,0.481,5.067,3.431,24.69,25.248,0.013,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-21.agents
1.664,1046,2008,123569,415932,741,741,730,734,672,303,334,0,409,0,0,0,0.005,0,0.026,0.267,0.168,1.338,1.365,0.01,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-22.agents
60.002,29265,58055,5528444,15860809,-1,719,695,703,16597,10073,2100,73,17019,0,0,0,0.063,0.014,0.736,18.144,11.921,40.655,41.473,0.011,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-23.agents
0.267,173,337,20114,64060,647,647,633,640,160,114,22,0,37,0,0,0,0,0.003,0.007,0.053,0.041,0.19,0.197,0.011,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-24.agents
0.61,333,652,55417,145102,749,749,732,735,261,213,30,0,90,0,0,0,0,0,0.005,0.13,0.095,0.453,0.461,0.012,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-25.agents
1.35,809,1547,127333,359049,633,633,626,628,613,467,38,0,304,0,0,0,0.007,0.001,0.014,0.33,0.22,0.976,0.993,0.01,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-26.agents
10.892,8043,15714,868730,2754605,690,690,673,677,2386,1375,527,1,6140,0,0,0,0.018,0.008,0.16,2.412,1.605,8.16,8.346,0.01,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-27.agents
5.045,1541,2930,1236852,1818342,707,707,690,694,1091,68,62,0,1411,0,0,0,0.006,0.001,0.04,0.582,0.458,4.374,4.418,0.011,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-28.agents
4.269,2625,5188,449889,1226698,618,618,593,599,1757,921,154,37,1513,0,0,0,0.007,0.004,0.064,1.128,0.743,3.02,3.092,0.012,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-29.agents
9.351,6142,11626,734964,2056728,677,677,662,666,3638,3443,1348,184,1167,0,0,0,0.016,0,0.125,2.233,1.298,6.905,7.042,0.01,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-30.agents
10.828,6479,12848,1366369,3351534,711,711,692,697,2974,1348,507,1,4623,0,0,0,0.009,0.003,0.152,2.049,1.564,8.51,8.679,0.01,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-31.agents
4.989,2918,5805,638277,1657642,666,666,645,649,1376,1284,110,4,1520,0,0,0,0.005,0,0.062,0.912,0.774,3.958,4.031,0.011,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-32.agents
11.478,7454,14752,1278949,3314103,649,649,628,630,3675,2306,311,424,4413,0,0,0,0.015,0.005,0.186,2.447,1.9,8.701,8.906,0.012,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-33.agents
1.537,868,1720,192854,400579,625,625,592,597,461,259,37,18,554,0,0,0,0,0,0.018,0.336,0.244,1.162,1.183,0.01,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-34.agents
1.038,693,1373,94626,286274,746,746,731,734,321,105,42,5,541,0,0,0,0.001,0,0.016,0.182,0.123,0.817,0.835,0.01,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-35.agents
0.255,135,268,19986,64371,735,735,723,727,121,62,22,19,32,0,0,0,0,0.001,0.002,0.031,0.017,0.205,0.208,0.013,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-36.agents
2.913,1839,3598,201284,627238,723,723,710,713,945,1265,186,12,376,0,0,0,0.007,0,0.041,0.641,0.399,2.198,2.242,0.011,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-37.agents
0.965,818,1636,54364,204760,657,657,646,651,399,237,37,0,544,0,0,0,0.002,0,0.017,0.126,0.089,0.803,0.82,0.011,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-38.agents
60.002,29266,55613,4388202,12298119,-1,742,727,734,18136,20223,2532,518,5993,0,0,0,0.075,0.011,0.812,18.46,10.627,40.196,41.112,0.012,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-39.agents
60.001,35208,69087,5776874,15572310,-1,719,703,706,9491,15454,3040,258,16456,0,0,0,0.081,0.011,0.859,16.586,10.193,41.851,42.826,0.016,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-40.agents
13.037,8451,15743,825310,2649126,740,740,734,736,4337,5713,421,125,2192,0,0,0,0.022,0,0.182,2.866,1.88,9.867,10.07,0.01,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-41.agents
3.417,2841,5641,346490,990836,557,557,542,545,1788,289,54,69,2429,0,0,0,0.007,0.002,0.05,0.475,0.383,2.837,2.893,0.01,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-42.agents
5.234,2452,4771,491020,1455029,676,676,660,667,2151,1128,137,0,1187,0,0,0,0.008,0.007,0.058,1.468,1.146,3.642,3.709,0.01,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-43.agents
5.91,3087,5706,547158,1407607,757,757,745,749,2217,1911,266,91,819,0,0,0,0.011,0.001,0.075,1.479,0.867,4.297,4.379,0.01,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-44.agents
27.73,18457,36172,2940424,8170877,671,671,652,658,6778,4258,1894,15,12290,0,0,0,0.03,0.01,0.41,5.273,3.81,21.712,22.197,0.013,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-45.agents
0.122,72,143,9826,32770,695,695,690,693,62,42,3,1,26,0,0,0,0.001,0,0.004,0.012,0.009,0.092,0.097,0.009,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-46.agents
25.653,14973,28025,1944147,5709483,701,701,688,691,9366,6224,2284,362,6103,0,0,0,0.029,0.002,0.353,7.064,3.585,17.969,18.379,0.011,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-47.agents
4.841,2602,5077,533236,1553517,679,679,664,668,1350,422,239,2,1939,0,0,0,0.008,0.002,0.057,1.147,0.796,3.577,3.637,0.01,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-48.agents
27.423,20870,40964,1701997,5330779,697,697,683,686,7372,14037,2101,387,4345,0,0,0,0.055,0.004,0.459,6.164,2.952,20.457,20.971,0.011,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\10obs-20x20\10obs-20x20map-50agents-49.agents
